,message
2146,"Популярный ресурс «Гастрономический Севастополь» о нашем новом проекте - ресторане и кафе ""Золотая Балка"". О концепции, меню и игристых фишках читайте по ссылке: 

https://vk.com/gastrosev?w=wall-130053079_494"
2147,"Брызги игристого на фото - не результат обработки, а взаимодействие  природы и любимого брюта:) Летние воспоминания, аромат моря, свежие и неповторимые эмоции - все это ""Золотая Балка""!
#золотаябалка #zolotayabalka #zb_travel"
2148,"Мы не раз говорили о том, что в ТерруАрте развивается винный туризм. Это 4 вида программ, в ходе которых Вы сможете прикоснуться к истории ""Золотой Балки"" и балаклавского виноделия!
Хотим рассказать о первом виде экскурсий - ""Знакомство с ""Золотой Балкой"":
 ⠀⠀⠀
В ходе программы Вас ожидает захватывающая прогулка по виноградникам, посещение парка и Шампанерии, в ходе которых наш экскурсовод расскажет о традициях виноделия в Крыму и секретах балаклавского терруара! А после Вы продегустируете  шесть образцов игристых вин. Продолжительность тура - 1 час!
 ⠀⠀⠀
Оставить заявку можно по телефону: +8 800 500 06 40 📲"
2149,"Балаклавская бухта живописна с любой стороны! А если отойти от туристических мест, то можно открыть ее по-новому! Хотим узнать, какие ""точки"" нравятся Вам? Где находятся лучшие обзорные площадки? Делитесь в комментариях 👍
#zolotayabalka #zb_travel #золотаябалка"
2150,"На нашем ZB-календаре уже 15  мая, а значит,  дан старт первому этапу он-лайн розыгрыша флаеров на #ZBFest! 
А  вы уже зарегистрировались на сайте zb-fest.ru для участия? Те, кто успел сделать это, уже могут скрестить пальцы на удачу – в субботу победители первого тура получат заветные флаеры.  
Остальных мы призываем скорее заполнять форму участника на сайте #ZBFest – ведь два летних месяца  пробегут также быстро, как заканчивается игристое в ваших бокалах. 
И самое главное: даже если вам не удастся стать победителем одного из он-лайн розыгрышей, у нас заготовлены и другие возможности  получения  ZB-флаеров - следите за нашими обновлениями ❤"
2151,"На целых два дня  живописная Балаклавская долина станет эпицентром летнего отдыха и игристых развлечений. Ну а прежде чем окунуться в них с головой, мы предлагаем вам поучаствовать в 1 из 10 наших конкурсов.
⠀⠀⠀
Попробуйте правильно ответить на наш «исторический» вопрос: где впервые была упомянута Балаклава? ☀️
Случайные 3 подписчика, правильно ответивших на вопрос, получат фирменные призы от #ZBFest и возможность выиграть два флаера в VIP-зону фестиваля!
⠀⠀⠀
Знатоки, конкурс продлится до 22 мая, так что ждем ваши ответы в комментариях!
#ялюблюZBFest #iloveZBFest #zb_place #ялюблюZBFest #iloveZBFest
#zb_music  #zb_food #zb_market #zb_fun #zb_art #zb_love #золотаябалка #zolotayabalka"
2152,"Даже в отдаленных районах нашей страны весна уже во всю вступила в свои права! А в Крыму почти отцвели маки.
⠀⠀⠀
Раскроем небольшой секрет: рядом с шампанерией находится склон с этими цветами и панорамным пейзажем на виноградники.
⠀⠀⠀
Увы, их век совсем недолог, однако, можно успеть сделать фото в цветах с бутылочкой игристого💐
#zolotayabalka #zb_travel #золотаябалка"
2153,"#ZBFest – территория, где приветствуется самовыражение!
 ⠀⠀⠀
Идеальный образ для посещения летних фестивалей под открытым небом – яркий и в то же время удобный. Чтобы оторваться с максимальным комфортом, не забудьте взять с собой:
- Солнцезащитный крем;
- Удобные кроссовки;
- Рюкзак;
- Плавки или купальник;
- Панаму или кепку;
- Солнечные очки;
- Плед или пончо.
⠀⠀⠀
Пишите в комментариях, если мы что-то забыли, и ставьте лайк, если всегда берете все это с собой! 👜
#zb_place #ялюблюZBFest #iloveZBFest
#zb_music  #zb_food #zb_market #zb_fun #zb_art #zb_love #золотаябалка #zolotayabalka"
2154,"А вы знали, жители России  предпочитают полусладкие сорта шампанского, в других же регионах планеты самым востребованным считается брют!
⠀⠀
Брют ""Золотая Балка"" обладает исключительно тонким изысканным букетом ароматов цветущих луговых трав и весенних цветов! Сочетание сортов винограда придает вкусу живость и пикантность, объемность и шелковистость 😉
#zolotayabalka #золотаябалка"
2155,"Спросить о том, слышали ли вы про #ZBFest значит — не спросить ничего. А вот знаете ли вы про серию наших конкурсов, которая будет проходить в наших сообществах до самого начала фестиваля?
⠀⠀⠀
Следите за новостями, принимайте участие в любом из 10 розыгрышей и получите возможность выиграть сувенирную продукцию и флаеры на #ZBFest. 🕺💃🏻
Всю полезную информацию, включая списки победителей и правила конкурса, вы найдете на сайте: zb-fest.ru/konkurs.php
И не волнуйтесь, призов будет очень много 🎁
⠀⠀⠀
P. S. Совсем забыли сказать, что в финале победители всех конкурсов поборются за главный приз — два флаера в VIP-зону фестиваля!
 ⠀⠀⠀
Найти все конкурсные посты вы сможете по хештегам: #ялюблюZBFest #iloveZBFest"
2156,"Продолжаем освещать события на виноградниках! Первые листочки сортов Каберне совиньон и Мерло уже получают свою порцию солнышка, чтобы после радовать вас новыми вкусами тихих вин 🏡
#zolotayabalka #золотаябалка #zb_winery"
2157,"Для многих наша продукция стала символом значимых событий. Спасибо за фото Ольге [club132338064|@crimeanfood] и Евгению, которые совсем недавно стали семьей. Мы рады осознавать, что вы выбираете нас в самые важные моменты в вашей жизни!
#золотаябалка #zolotayabalka #zb_agent"
2158,"Travel-набор для выходных: свежая сирень, хорошее настроение и любимое игристое. Какой сорт выберете вы? Хотим узнать, что любят брать в дорогу наши подписчики!
#zolotayabalka #золотаябалка #zb_lifestyle"
2159,"А вы замечали, что в Балаклавской бухте швартуются яхты со всего мира и Средиземноморья - иностранную речь очень легко услышать вечером на набережной и в кафе! 
Такие красоты привлекают туристов со всего мира. Маленькие домики, кораблики, открытое море и природа вокруг влюбляют в это место даже скептиков❤ 
#zolotayabalka #золотаябалка #zb_travel"
2160,"Первый #ZBFest прошел громко, жарко и незабываемо! 
Любимые артисты, киловатты света и звука, море, солнце и друзья – вспоминаем, как это было, и готовимся зажечь на #ZBFest2017!"
2161,"Как известно, среда - это маленькая пятница. Так что сохраняем воду и пьем любимое игристое!
#золотаябалка #zolotayabalka #ZB_lifestyle"
2162,"Шум моря в ракушке, аромат лаванды на фоне и теплые фото с летнего отдыха дают полное ощущение того, что вы вот-вот вновь окажетесь здесь, в любимой Балаклаве! 
#золотаябалка #zolotayabalka #ZB_travel"
2163,"В чаще уникальных зеленых деревьев на территории комплекса ТерруАрт, находится небольшой белый домик - ""Дом виноградаря"". Новым посетителям он известен из-за веранды на крыше с живописным видом, но на самом деле в его стенах происходило немало исторических событий!
 ⠀
Это бывшая агропроизводственная лаборатория, откуда специалисты наблюдали за температурой воздуха и почвами, скоростью ветра и количеством осадков на виноградниках. Здесь находилась большая библиотека по виноградарству, а также действовала настоящая ""Школа виноградарей"". В стенах этого здания проходили дегустации для официальных делегаций. К примеру для Юрия Гагарина!
 ⠀
Сейчас на крыше этого домика  расположена веранда с видом на виноградники. И совсем скоро она станет доступна для посещения!
#золотаябалка #zolotayabalka #ZB_terruart"
2164,"Мы всегда поддерживаем новые начинания и интересные проекты! В Севастополе проходят арт-вечера @artpicasso__ для тех, кто никогда не брал в руки кисть ✍ В ходе занятия вы создаете  настоящий шедевр, который не стыдно показать друзьям. А автор лучшей работы получает  приятный подарок от ""Золотой Балки""!
Хотели бы вы принять участие в таком мероприятии?
#золотаябалка #zolotayabalka"
2165,"72 года назад, ровно в 6 утра торжественный голос Левитана из всех громкоговорителей страны оповестил народ о долгожданной Победе и Великом празднике. До позднего вечера улицы городов переполняли смеющиеся и плачущие от счастья люди. А ровно в 22 часа мирное небо Москвы озарил масштабный салют из 30 залпов!
⠀⠀⠀
Для Севастополя эта дата памятна и тем, что в 1944 году началась операция по освобождению города! В любое время нужно помнить подвиги, на которые шли наши предки ради мирного неба над головами своих внуков.
⠀⠀⠀
В честь праздника мы добавили праздничных шаров и букет цветов в наш ТерруАрт и ждём вас в гости с 9.00-20.00❤️
#золотаябалка #zolotayabalka #zb_terruart"
2166,"Мы подозреваем, что у каждого гостя ТерруАрта  есть фото в этих стильных подвесных креслах. Благодарим за почти летнюю фотокарточку прекрасную Анну, ждем в гости вновь!
#золотаябалка #zolotayabalka #ZB_terruart"
2167,"Фестивали – лучший способ добавить ярких красок и впечатлений на всю жизнь. Специально для вас мы составили подборку фестивалей, на которых стоит побывать каждому меломану. Налетаем! https://vk.com/page-105021375_54735178
#ZB_music"
2168,"Впереди еще два дня выходных, значит стоит отправиться на пикник и насладиться приятной погодой. А жителям столицы советуем зайти в наш фирменный магазин и порадовать себя вкусом лета - ""Золотой Балкой"" 😍 Из Крыма с любовью!
#zolotayabalka #золотаябалка #ZB_wine"
2169,"Даже местные жители находят новое в, казалось бы, давно знакомых местах!
⠀
Винные туры в ТерруАрте - это полное погружение в мир ""Золотой Балки"" 🥂 Отзыв от Константина, который посещает наши экскурсии уже во второй раз: ""В это место можно возвращаться множество раз! Интересно все: история предприятия, демонстрация процесса рождения вина, прогулка по виноградникам и сама дегустация! Вся экскурсия проходит на одном дыхании! Шикарное место, как для местных, так и для туристов! Были здесь уже дважды, уверен, что вернёмся!""
⠀
Ждем в гости вновь!
#золотаябалка #zolotayabalka #ZB_terruart"
2170,"А  знаете ли вы, что в Балаклавской бухте появились дельфины? И наблюдать за ними лучше всего с Крепостной горы! Захватите хоршее настроение и любимый брют ""Золотая Балка"" с собой и отправляйтесь покорять новые высоты🗺⛱
#золотаябалка #zolotayabalka #zb_travel"
2171,"Отсчёт до лета уже пошёл на дни ⏳, а это значит, что фестиваль #ZBFest уже близко! Любителям шумных вечеринок, музыкального отрыва и драйва мы советуем заранее запланировать отпуск и позаботиться о флаерах, ведь пропустить одно из главных событий этого года никак НЕЛЬЗЯ! Не забывайте, что количество флаеров ограничено🤗
Мы собрались духом и приготовили всю полезную информацию о #ZBFest на нашем официальном сайте zb-fest.ru 🥂"
2172,"Сегодня мы приоткрываем завесу тайны - совсем скоро откроется два ресторана ""Золотая Балка"" в Севастополе и Балаклаве! Вас ждут вкуснейшие крымские блюда, которые отлично сочетаются с игристыми или тихими винами.
⠀
A пока, делитесь своими догадками - где же все-таки будут находится наши рестораны? Пишите ответ в комментрии!
 #золотаябалка #zolotayabalka"
2173,"Настроение этой пятнице задает любимое игристое. Изящные вкус мускатного белого оставит от прошедшей недели яркое послевкусие!
#zolotayabalka #золотаябалка #ZB_wine"
2174,"Горный воздух, тёплое солнце, запах моря, веселье и свобода — описание походит не только для Крыма, но и для долины Коачелла, США ☀ Именно там проводится ежегодный одноимённый фестиваль Coachella, на который съезжаются любители вечеринок формата open-air со всего мира! 
⠀ 
Этим летом мы проведём фестиваль #ZBFest, который также пройдёт под открытым небом. И многие девушки уже задаются вопросом: как выглядеть на фестивале стильно, но при этом удобно? Предлагаем ознакомиться с популярными образами фестиваля и вдохновиться на свой Fashion-эксперимент! 
⠀ 
#zolotayabalka #золотаябалка #zb_music #zb_food #zb_market #zb_fun #zb_art #zb_place #zb_love"
2175,"Многие путешественники приезжают в Балаклаву в начале мая! И с вероятностью в 99.9% их маршрут включает прогулку на катере, ведь именно с него открываются незабываемые виды на любимую балаклавсую бухту! 
#zolotayabalka #золотаябалка #ZB_travel"
2176,"Артист, завоевавший миллионы зрительских сердец  по всей России, дважды представлявший нашу страну на Евровидении, принеся нам долгожданную победу, обладатель завораживающего лирического тенора – Дима Билан!
Отметим, это не просто новостная сводка, как вы быть может подумали, а новый участник #ZBFest 2017!
Не знаем, как вы, а мы уже кусаем локти и продумываем, как пробраться в зону backstage 😉
⠀
#zolotayabalka #золотаябалка #zb_music  #zb_food #zb_market #zb_fun #zb_art #zb_place #zb_love"
2177,"До того, как стать игристым, вино проходит два этапа брожения. Первый из них происходит в акратофорах из нержавеющей стали. На этом этапе вино приобретает ""характер"", т.е свои вкусовые качества. Именно здесь происходят чудеса виноделия!
#zolotayabalka #золотаябалка #zb_winery"
2178,"Нравится нам, когда на виноргадниках все подпевают и несомненно танцуют!..
Да-да, мы решили увеличить ГРАДУС накала и пригласили на #ZBFest самых зажигательных ребят, которые вот уже почти 10 лет заставляют нас двигаться в такт их музыке и не переживать, если вдруг заболеем.
⠀
Встречайте и начинайте подпевать вместе с нами (а может и придумывать свои четверостишия на известный мотив, как это сделали мы) – группа Градусы!
#ZBFest 2017 – здесь все!
⠀
#zolotayabalka #золотаябалка #zb_music  #zb_food #zb_market #zb_fun #zb_art #zb_place #zb_love"
2179,"Если вы уже были у нас в гостях, то наверняка видели эту, на первый взгляд, невзрачную каменную плиту. На самом деле, это настоящий артефакт для тех, кто любит вино так, как любим его мы - древний тарапан, каменная давильня для винограда 4-6 века н.э.
⠀
На них предки прессовали ягоды, чтобы получить виноградный сок, а потом сливали его по специальным желобкам в большие глиняные кувшины - пифосы, где вино хранилось. Говорят, что тарапаны на полуострове не редкость, их можно встретить на Мангупе, в Чуфут-кале, Эски-кермене и других горных уголках Крыма.
⠀
#ZB_travel #zolotayabalka #золотаябалка"
2180,"Вам наверняка знакомо выражение ""Лоза должна страдать"", и это на самом деле так!
Самые крупные виноградники располагаются на каменистых почвах, на которых вряд ли может вырасти что-то другое. Только так корни растения могут добраться до минеральных отложений, которые дают знакомый вам яркий вкус и аромат напитка!
Эта информация наверняка пригодится для светской беседы за бокалом игристого :)
⠀
#ZB_lifehack #золотаябалка #zolotayabalka"
2181,"Вчера прошло награждение победителей одного из этапов регаты ""Дружба"". В их руках не только кубки, но и заслуженное игристое ""Балаклава "" и ""Золотая Балка"" ⛵️

#zolotayabalka #золотаябалка"
2182,"Акции для наших московских покупателей!
Теперь вы можете приобрести игристые и тихие вина в фирменных магазинах «Золотая Балка» со скидкой 25% 🥂
⠀
Вина, участвующие в акциях:
- игристое «Крым Классик»
- игристое «Крымская Классика»
- игристое жемчужное «Сенто Фриззанте»
- столовое сухое красное «Золотая Балка»
- столовое полусладкое красное «Бастардо Золотая Балка»
⠀
Успейте насладиться майскими праздниками с игристыми и тихими винами «Золотая Балка», ведь акция действует только до 15 мая!
#золотаябалка #zolotayabalka #zb_bonus"
2183,"Превосходить  самих себя - это стиль ""Золотой Балки"". Поэтому в этому году #ZBFest умножает все на 2: в два раза больше сцена, в два раза больше впечатлений, в два раза больше музыки.
Главный сюрприз #ZBFest 2017 - мы встретимся с вами на виноградниках в Балаклаве 2 дня - 4 и 5 августа и каждый день мы будет рассказывать вам о новом артисте, который разделит с вами атмосферу #ZBfest 2017. Итак, представляем вам - группа СерьГа!
#золотаябалка #zolotayabalka"
2184,"C днём труда, друзья! В шампанерии во всю весна и вокруг цветёт прекрасная сирень. Так что спешим поделиться с вами этой красотой! А как проведете этот день Вы?
#золотаябалка #zolotayabalka"
2185,"Приятная акция на майские праздники: скидка -15% на игристое ""Золотая Балка"" полусладкое розовое и белое😱
Теперь у вас есть ещё одна причина заглянуть в наши крымские магазины!
Количество ограничено, акция действует пока игристое есть в наличии.
#золотаябалка #zolotayabalka #zb_bonus"
2186,"Незабываемый вид, свежий горный воздух, компания близких и все это в сочетании с  любимым брютом для самых тёплых встреч и долгих разговоров!
#zb_travel #zolotayabalka #золотаябалка"
2187,"Знали ли Вы, что почвы Балаклавской долины во многом схожи с почвой легендарной провинции Шампань?
⠀
Минералы, содержащиеся в этих землях, дают вину бесчисленное множество оттенков и вкусов. Попробуйте изысканные игристые вина ""Золотая Балка"" и почувствуйте дух залитых солнцем долин!
⠀
#ZB_lifehack #золотаябалка #zolotayabalka"
2188,"Рецепт хороших выходных: солнечная погода+друзья+любимое игристое! Берем рюкзак с хорошим настроением и отправляемся в самую живописную Балаклаву🌿
#золотаябалка #zolotayabalka #zb_lifestyle"
2189,"А что выбираете вы: легкое настроение за игристым или долгие разговоры за тихими винами? Вечер пятницы вместе  ""Золотой Балкой"" всегда проходит хорошо 🌟
#Zolotayabalka #золотаябалка #zb_quotes"
2190,"Для всех желающих погрузиться в мир виноделия мы создали ТерруART - уникальную площадку, не имеющую аналогов в Крыму!
⠀
Узнайте больше о вине на наших экскурсиях и познакомьтесь с ним лично на дегустации с профессиональным сомелье. Подробности о том, как записаться и выбрать подходящую для себя программу можно на сайте terruart.ru!
⠀
Благодарим за фото гостью ТерруАРТа Татьяну 🥂
#золотаябалка #zolotayabalka #zb_agents"
2191,"Благодарим за фото Софико Шеварднадзе ""Когда понимаешь, что конец недели удался""!
⠀
И действительно, с ""Балклавой"" Pinot Noir конец недели может быть только удачным🥂
⠀
#zb_agents #zolotayabalkalka #золотаябалка"
2192,"Солнце, море, верные друзья и игристое в бокале — то, чего ждут многие🍾
⠀
Вспомним, как это было в прошлом году, и начнём готовиться к новому! Как вы уже знаете, 5 августа на виноградниках ""Золотой Балки"" состоится главное событие лета. А ждете ли вы его также, как ждем его мы? :)#zbfest #zolotayabalka #золотаябалка"
2193,"В Севастополь наконец-то пришла настоящая весна и теперь она не собирается уходить! Это значит, что впереди множество солнечных дней. Не упускайте их 🌞
⠀
Путешествуйте, исследуйте мир, а радость новых открытий дополнит вкус игристых и тихих вин ""Золотая Балка""
#золотаябалка #zolotayabalka #zb_travel"
2194,"Всё чаще люди задумываются, как правильно выбрать игристое вино. Об этом можно говорить и спорить, но к чему тратить время? Предлагаем Вашему вниманию три совета для верного выбора!
⠀⠀⠀
1️⃣.Выбирайте вино, собранное и произведенное в однм месте.
2️⃣. Если Вы хотите сочетать игристое вино с едой, выбирайте Брют  - именно его считают самым подходящим для гастрономических пар.
3️⃣. Не бойтесь спросить совета у эксперта! Никто не знает лучше Вас, что именно Вы хотите - опишите свои пожелания сомелье, и Вы получите то, что искали!
⠀⠀⠀
Надеемся, что наши советы смогут помочь Вам, и выбранное вино отлично дополнит  вечер!
#золотаябалка #zolotayabalka #zb_lifehack"
2195,"«Балаклава» – это больше, чем просто бокал игристого. Это море и солнце. Это свобода ветра и неподвижный покой гор.
Вся Балаклава в твоем бокале☀️
#zolotayabalka #золотаябалка"
2196,"В этих с виду одинаковых бочках мы создаем новую историю тихих вин ""Золотой Балки""!
⠀⠀⠀
Прямо сейчас в них выдерживаются тихие вина, виноград для которых был выращен здесь, в Балаклавской долине.
Мы уверены - такие сорта, как Шардоне, Мерло и Каберне родом из Крыма станут классикой виноделия!
#zolotayabalka #золотаябалка"
2197,"Резервный розовый брют «Балаклава» создан из винограда Пино Нуар, выращенного на собственных виноградниках ""Золотой Балки""🥂
⠀⠀⠀
Гармоничное и благородное игристое вино обладает тонкими ароматами малины и клубники, нотками терпких специй.
⠀⠀⠀
Оно словно наполнено солнечным летом Балаклавы, её морским воздухом и славной историей.
Попробуйте «Балаклаву» на вкус!
#золотаябалка #zolotayabalka"
2198,"Как вы уже догадались, эта фотография сделана с крепости Чембало, защищавшей Балаклаву с XIV века. Древняя крепость уже давно стала достопримечательностью города, а не военными укреплениями. Но у этих башен долгая и славная история! 
⠀⠀⠀ 
В разное время в этих стенах держали оборону генуэзцы, турки, русские и немцы. В период освобождения Севастополя крепость была сильно повреждена, а в 2008 году из-за сильных дождей одна из башен обрушилась. 
⠀⠀⠀ 
Надеемся, что совсем скоро башня будет восстановлена. 
Отсюда, с вершины горы, открываются великолепные виды Чёрного моря, которые отлично сочетаются с игристым «Балаклава» 🍾 
#zolotayabalka #золотаябалка"
2199,"Предпраздничную неделю мы начинаем с приятной акции в наших крымских фирменных магазинах: с 24 по 30 апреля покупайте игристые вина ""Золотая Балка"" со скидкой до 20%. Встретим майские праздники с игристым настроением!

Акция распространяется на брют белое ""Золотая Балка"", красное полусладкое ""Золотая Балка"", мускатное белое ""Золотая Балка"". 

#zolotayabalka #золотаябалка"
2200,"В рубрике удивительных фактов о нашей Балаклаве - новый рекорд. Самое большое водохранилище Крыма — Чернореченское - находится в Балаклавском районе, в своеобразном горном амфитеатре на высоте 260 метров над уровнем моря. Его длина составляет 3,45 километра, а площадь зеркала воды - целых 6,04 квадратных километров. Этот водоем обеспечивает бесперебойное снабжение Севастополя пресной водой и орошение почти всей юго-западной части полуострова.
#zolotayabalka #золотаябалка"
2201,"У природы нет плохой погоды! И пока Крым удивляет снегопадом в разгар апреля, ""Золотая Балка"" создаёт весну. Клубника в игристом, мы в  катере, а ветер -  в волосах - идеальный выходной день🍾🍓
#zolotayabalka #золотаябалка"
2202,"Весенние вечеринки модных брендов в сочетании с игристыми пузырьками ""Балаклавы"" становятся доброй традицией. Вот и клиентский день в бутике Alexander Terekhov по случаю презентации новой коллекции #прямосейчас проходит при нашей игристой поддержке. 
#zolotayabalka #золотаябалка"
2203,"Самый вкусный кусочек Крымского полуострова ждет вас в самом центре Москвы! 
С субботу и воскресенье встречаемся на Маркете Местной Еды, который откроется на территории двора Музея Москвы. Наш партнер, ресторан ""Крымская кухня"" представит новинки своего меню - 3 блюда от шеф-повара, а мы - подарим игристое настроение. 
Маркет Местной Еды работает 22 и 23 апреля с 11.00 до 21.00 по адресу Зубовский бульвар, 2. Вход бесплатный. 

#zolotayabalka #золотаябалка"
2204,"#прямосейчас мы наполняем бокалы брютом ""Пино Нуар"", чтобы встретить гостей весеннего мастер-класса [id186607425|@evelinakhromtchenko] ""8 модных стилей. Как выбрать свой"" в ГУМе. Создавать игристое настроение - наше призвание💕🌸 
#золотаябалка #zolotayabalka"
2205,"Bubble News: учёные выяснили идеальный размер пузырьков игристого! 
По данным французских исследователей, размер пузырьков может варьироваться от 0,4 до 4 миллиметров. Однако идеальным будет диаметр в 1,7 миллиметра: именно при таком размере пузырьки, достигая поверхности игристого вина, лучше всего выстреливают в воздух и максимально раскрывают ароматику.
Мы уже вооружились линейками, бокалами и бутылочкой ""Золотой Балки"" и готовы снять мерки с пузырьков. Присоединяйтесь! 

#zolotayabalka #золотаябалка"
2206,"Крым, игристое настроение и рок-н-ролл - формула самого летнего и самого музыкального фестиваля ZB-Fest 2017! В этом году ответственным за фейерверк эмоций назначается ""Бригада С"" во главе с Гариком Сукачевым: зажигаем под ""Моя бабушка курит трубку"", подпеваем ""Я милого узнаю по походке"", и не забываем про брюки-галифе👌🏾
А Закрепит урок рок-н-ролла группировка Ленинград! 
Уходим в отрыв 5 августа на виноградниках ЗБ!
Хотите стать частью этого большого праздника? Тогда скорее переходите на сайт фестиваля ZB-fest.ru и регистрируйтесь в специальной форме: вы не только будете в курсе всех новостей фестиваля, но и станете первыми участниками розыгрыша входных флаеров! 
Все, что нужно - оставить: 
1. ФИО 
2. Телефон 
3. E-mail 
4. Город 
5. Дату рождения 

Обязательно внимательно проверяйте ваши контактные данные - в случае победы в розыгрыше, флаер будет отправлен на указанный вами адрес. Серия розыгрышей стартует уже 15 мая!"
2207,"Игристое настроение - прекрасный подарок🍾Поэтому ""Золотая Балка"" отправилась поздравить с днём рождения сеть  салонов [club37944025|@bbbmoscow] 🍾 и #прямосейчас мы проводим брютальную дегустацию для гостей праздника в салоне на Большой Дмитровке🥂
#zolotayabalka #золотаябалка"
2208,"#прямосейчас в ГУМе начинается Пасхальный вечер ювелирного дома  Axenoff Jewellery [club32486940|@axenoffjewellery]. Легкий  игристый акцент вечера гарантирует наш брют Пино Нуар ""Балаклава"". Гостей ждёт сказочно красивый вечер!
#золотаябалка #zolotayabalka [id843280|@axenoff]"
2209,"Чтобы наши лозы дали лучшие плоды, виноградари ""Золотой Балки"" обеспечивают к каждой из них уникальный подход на всех стадиях их развития - обрезка, прореживание листьев, контроль нагрузки на куст или полив. Ведь также, как и ниши вина, каждая лоза ""Золотой Балки"" обладает индивидуальностью и неповторимым темпераментом. 
#zolotayabalka #золотаябалка"
2210,"Бокал-блюдце (Champagne Saucer glass или Coupe glass, как говорят специалисты) ассоциируется у нас с роскошью: вечеринки в стиле Великого Гэтсби, «Подпольной Империи» или бомонда 60-х годов, когда игристое пили исключительно из этих бокалов. Кстати, если вы предпочитаете сладкие игристые вина - выбирайте именно эту форму. 
#zolotayabalka #золотаябалка"
2211,"Вчера на премии ""Самые стильные в России 2017"" по версии журнала HELLO брюты ""Балаклава"" составили игристую пару самым ярким и модным представителям шоу-бизнеса, кино и спорта🍾Судя по счастливым улыбкам гостей, Премия прошла на славу!
 #золотаябалка #zolotayabalka #премияhello #самыестильныевроссии2017"
2212,"Оттенки лепестков чайной розы и богатая игра мускатных сортов винограда - именно за это девушки ценят мускатное розовое игристое ""Золотая Балка"". Мужчинам на заметку: это очень приятный подарок😊
#zolotayabalka #золотаябалка"
2213,"Начать эту неделю мы хотели бы с прекрасной новости: вода в Черном море уже прогрелась до +13 градусов (и самые закаленные уже опробовали водичку), а значит лето уже совсем близко! Если быть точными, то осталось всего семь понедельников до самого курортного сезона, когда команда ""Золотой Балки"" будет встречать в ТерруАРТе гостей со всей России, чтобы подарить им самый игристый отпуск. 
#zolotayabalka #золотаябалка"
